Código;Alimento;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
9;Tomate fresco;94;17.4;1;0.2;0.045;0.05;0.135;0;2.9;1.2;0.9;5;267;9;43;1.67;0.17;0.4;15;42.2;0.071;0.062;0;18.1;0
9;Tomate conserva en lata;94.34;16.41;0.8;0.13;0.018;0.021;0.054;0;3.01;0.9;0.82;128;188;31;19;0.97;0.14;0.74;8;6;0.045;0.047;0;9;0
9;Zanahoria;86;42.32;1.1;0.24;0.032;0.012;0.102;0;8.94;3.06;0.8;22;366;37;46;0.47;0.25;0.3;19.38;614;0.08;0.069;0;3.9;0
9;Zapallito;96;10.1;0.8;0.18;0.036;0.014;0.074;0;1.32;1.08;0.8;2;203;24;33;1.51;0.29;0.48;28.58;9.8;0.047;0.14;0;5.36;0
9;Zapallo;91;25;0.5;0.2;0.052;0.013;0.005;0;5.3;0.5;2.5;2;162;23;14;0.9;0.32;0.4;16;369;0.044;0.058;0;4.83;0
6;Leche chocolatada;82.3;81.35;3.17;3.39;2.104;0.99;0.124;12;9.54;0.8;0.8;60;167;112;101;0.24;0.41;0.13;5;26;0.037;0.162;0.33;0;0
6;Leche de cabra entera fluida;86.2;78.3;3.3;5.9;2.667;1.109;0.149;11;3;0;1.6;27;171;153;139;0.26;0.3;0.28;1;57;0.048;0.138;0.07;0;0
6;Leche de oveja entera fluida;82.6;98.5;5.5;6.5;4.51;1.689;0.301;26;4.5;0;0.9;30;187;207;123;0.1;0.52;0.4;7;43;0.065;0.347;0.69;0;0
6;Leche de vaca parcialmente descremada;90.1;43.8;3.2;1.4;0.963;0.837;0.06;8;4.6;0;0.68;55;138;120;109;0.08;0.33;0.09;5;32.5;0.04;0.185;0.46;0;0
6;Leche de vaca parcialmente descremada con vitaminas A y D;90.1;43.8;3.2;1.4;0.963;0.837;0.06;8;4.6;0;0.68;55;138;120;109;0.08;0.33;0.09;5;63;0.04;0.185;0.46;0;0
6;Leche de vaca entera fluida;88.7;56.9;3.1;2.9;1.85;0.803;0.193;10;4.6;0;0.66;57;137;123;95;0.07;0.33;0.11;5;28;0.043;0.181;0.435;0;0
6;Leche de vaca entera fluida con vitaminas A y D;88.7;56.9;3.1;2.9;1.85;0.803;0.193;10;4.6;0;0.66;57;137;123;95;0.07;0.33;0.11;5;63;0.043;0.181;0.435;0;0
6;Leche en polvo descremada;3.2;359.4;35.5;1;0.493;0.198;0.029;20;52.1;0;8.15;563;1640;1303;1027;0.53;4.27;0.94;50;6;0.41;1.53;4.03;0;0
6;Leche en polvo deslactosada con vitaminas A y D;4.28;490;26;26;14.76;6.973;0.585;85;38;0;5.72;404;1224;821;761;0.54;3.32;0.57;33;227;0.249;1.062;2.86;0;0
6;Leche en polvo entera;2.8;490.4;25.8;24.8;14.76;6.973;0.585;85;41;0;5.72;404;1224;821;761;0.54;3.32;0.57;33;227;0.249;1.062;2.86;0;0
6;Leche entera fluida desactosada con vitaminas A y D;88.7;57.8;3;3;1.87;0.87;0.11;12;4.7;0;0.6;49;151;105;80;0.05;0.38;0.08;8.33;63;0.04;0.16;0.36;0;0
6;Leche parcialmente descremada Fluida deslactosada con vitaminas A y D;88.7;45.5;3.3;1.5;0.94;0.43;0.06;6;4.7;0;0.6;49;153;140;110;0;0.39;0.09;8.33;63;0.04;0.16;0.36;0;0
6;Postres de leche bebible (tipo Danonino);77.5;99.36;2.4;2.4;1.493;0.691;0.089;9;17.04;0.06;0.54;38;119;120;68;0.03;2.1;0.06;25.17;102;0.03;0.11;0.26;0;0
6;Postres de leche listos para consumir (tipo Danonino);69.5;120.92;6.5;3.2;2.04;0.88;0.21;9;16.53;0.07;4.13;37;116;160;108;0;2.1;0.01;25;100;0.01;0.02;0.06;0;0
6;Postres de leche listos para consumir (tipo Serenito);61.7;182.9;3.4;6.1;3.89;1.69;0.4;11;28.6;0;0.2;93;160;112;133;0.04;1.7;0.08;27.83;117;0.03;0.14;0.33;0;0
6;Postres de leche listos para consumir diet (tipo Ser);77.1;80.05;4;0.05;0.03;0.01;0.002;23;15.9;0.3;2.35;109;192;146;157;0;0.46;0.09;54.73;152;0.04;0.25;0.41;0;0
6;Probióticos descremados;77.5;88.3;2.7;1.5;0.731;0.636;0.051;6;16;0;2.3;38;119;98;68;0.03;2.1;0.06;25.17;102;0.03;0.11;0.26;0;0
6;Probióticos enteros;77.5;88.3;2.7;1.5;0.731;0.636;0.051;6;16;0;2.3;38;119;98;68;0.03;2.1;0.06;25.17;102;0.03;0.11;0.26;0;0
6;Leche entera en polvo fortificada con hierro (Plan Materno infantil y otros);2.8;490.4;25.8;24.8;14.76;6.973;0.585;85;41;0;5.72;404;1224;821;761;12;3.32;0.57;33;227;0.249;1.062;2.86;2.86;0
6;Leche entera fluida fortificada con hierro;88.7;56.9;3.1;2.9;1.87;0.87;0.11;12;4.6;0;0.66;57;137;123;95;1.5;0.33;0.11;5;63;0.043;0.181;0.435;0;0
6;Leche Chocolatada Cindor;83.1;72.24;3.21;1.48;0.92;0.43;0.05;5;11.52;0.04;0.61;77;162;117;134;0.3;0.43;0.09;7.8;52;0.04;0.16;0.34;0;0
6;Fórmula de inicio en polvo;2.42;484.7;10.4;25.9;11.2;11;3.7;85;52.5;3;5.72;141;474;358;179;3.7;3.7;5.7;141.66;478;0.3;0.78;1.5;62;0
6;Fórmula de seguimiento en polvo;2.38;473.9;12.5;23.5;10.2;10;3.3;85;53.1;2.8;5.72;190;589;611;349;9;6.4;5.8;131.66;454;0.28;0.78;1.1;58;0
6;Fórmula de inicio fluida;86.94;65.5;1.4;3.5;1.5;1.5;0.5;12;7.1;0.4;0.66;15;61;42;21;0.8;0.5;0.05;6;60;0.04;0.009;0.15;5.4;0
6;Fórmula de seguimiento fluida;86.04;65.69;2.23;2.93;1.41;1.38;0.45;12;7.6;0.4;0.49;33;100;80;61;1.2;0.5;0.5;6;60;0.04;0.009;0.15;5.3;0
14;Mayonesa;10;741.72;1.68;79;9;21.5;48.5;58;6;0;2.3;869;52;27;43;0.77;0.23;0;12;84;0;0;0.4;0;0
14;Mayonesa reducida en calorías;50;328.64;0.98;32;3.5;8.7;19.8;39;9.18;0;2.14;754;45;9;39;0.36;0.2;0;4;23;0.02;0;0;0;0
